Time [s],Channel 0
-1.442468417,0
0.028836583,1
0.028838833,0
0.041113000,1
0.041115250,0
0.050490500,1
0.050492750,0
0.058475250,1
0.058477417,0
0.065459000,1
0.065461250,0
0.071745667,1
0.071747833,0
0.077531667,1
0.077533917,0
0.082920667,1
0.082922917,0
0.088011500,1
0.088013667,0
0.092801000,1
0.092803167,0
0.097388500,1
0.097390750,0
0.101775583,1
0.101777833,0
0.105964500,1
0.105966750,0
0.109954667,1
0.109956917,0
0.113845000,1
0.113847250,0
0.117636250,1
0.117638500,0
0.121228000,1
0.121230250,0
0.124818750,1
0.124821000,0
0.128210500,1
0.128212750,0
0.131601333,1
0.131603583,0
0.134793583,1
0.134795833,0
0.137986583,1
0.137988833,0
0.141178167,1
0.141180417,0
0.144171417,1
0.144173667,0
0.147165750,1
0.147168000,0
0.150060917,1
0.150063083,0
0.152955917,1
0.152958167,0
0.155851333,1
0.155853583,0
0.158546583,1
0.158548833,0
0.161341083,1
0.161343333,0
0.163937333,1
0.163939500,0
0.166633333,1
0.166635500,0
0.169228500,1
0.169230750,0
0.171724667,1
0.171726917,0
0.174320333,1
0.174322583,0
0.176816333,1
0.176818500,0
0.179212750,1
0.179215000,0
0.181608833,1
0.181611083,0
0.184004750,1
0.184007000,0
0.186400083,1
0.186402333,0
0.188695250,1
0.188697500,0
0.190990000,1
0.190992250,0
0.193284667,1
0.193286917,0
0.195479333,1
0.195481583,0
0.197674000,1
0.197676167,0
0.199868667,1
0.199870917,0
0.202063167,1
0.202065417,0
0.204257583,1
0.204259833,0
0.206353167,1
0.206355417,0
0.208449417,1
0.208451667,0
0.210545417,1
0.210547583,0
0.212640833,1
0.212643083,0
0.214637000,1
0.214639250,0
0.216633417,1
0.216635667,0
0.218630000,1
0.218632250,0
0.220626000,1
0.220628250,0
0.222622167,1
0.222624417,0
0.224618167,1
0.224620417,0
0.226514833,1
0.226517083,0
0.228411000,1
0.228413250,0
0.230307250,1
0.230309500,0
0.232203167,1
0.232205417,0
0.234099417,1
0.234101667,0
0.235896000,1
0.235898167,0
0.237791833,1
0.237794083,0
0.239587667,1
0.239589917,0
0.241384250,1
0.241386500,0
0.243180500,1
0.243182750,0
0.244976667,1
0.244978917,0
0.246773250,1
0.246775417,0
0.248570250,1
0.248572500,0
0.250267583,1
0.250269750,0
0.252064167,1
0.252066417,0
0.253760750,1
0.253762917,0
0.255456917,1
0.255459167,0
0.257152500,1
0.257154667,0
0.258849417,1
0.258851667,0
0.260545917,1
0.260548167,0
0.262242583,1
0.262244833,0
0.263839750,1
0.263842000,0
0.265536333,1
0.265538583,0
0.267133167,1
0.267135417,0
0.268829833,1
0.268832083,0
0.270426750,1
0.270429000,0
0.272023083,1
0.272025333,0
0.273619750,1
0.273622000,0
0.275216333,1
0.275218583,0
0.276812833,1
0.276815083,0
0.278409083,1
0.278411250,0
0.279905750,1
0.279908000,0
0.281502000,1
0.281504250,0
0.282998250,1
0.283000500,0
0.284594500,1
0.284596667,0
0.286090250,1
0.286092500,0
0.287586417,1
0.287588583,0
0.289083000,1
0.289085250,0
0.290679333,1
0.290681583,0
0.292176000,1
0.292178250,0
0.293672500,1
0.293674750,0
0.295069167,1
0.295071417,0
0.296565500,1
0.296567750,0
0.298062167,1
0.298064417,0
0.299558583,1
0.299560833,0
0.300955167,1
0.300957333,0
0.302451000,1
0.302453250,0
0.303846917,1
0.303849167,0
0.305243167,1
0.305245417,0
0.306739083,1
0.306741250,0
0.308136000,1
0.308138250,0
0.309533167,1
0.309535417,0
0.310930167,1
0.310932417,0
0.312327417,1
0.312329667,0
0.313724417,1
0.313726667,0
0.315120917,1
0.315123083,0
0.316517750,1
0.316519917,0
0.317914833,1
0.317917083,0
0.319311917,1
0.319314167,0
0.320609000,1
0.320611250,0
0.322005583,1
0.322007833,0
0.323302417,1
0.323304667,0
0.324699167,1
0.324701417,0
0.325996250,1
0.325998500,0
0.327392917,1
0.327395083,0
0.328689667,1
0.328691917,0
0.329986583,1
0.329988833,0
0.331383417,1
0.331385583,0
0.332680083,1
0.332682333,0
0.333977083,1
0.333979333,0
0.335273750,1
0.335276000,0
0.336570750,1
0.336573000,0
0.337867500,1
0.337869750,0
0.339164083,1
0.339166333,0
0.340460917,1
0.340463167,0
0.341757583,1
0.341759833,0
0.342954583,1
0.342956833,0
0.344251917,1
0.344254167,0
0.345549000,1
0.345551250,0
0.346746583,1
0.346748833,0
0.348043917,1
0.348046167,0
0.349341750,1
0.349344000,0
0.350539750,1
0.350541917,0
0.351837583,1
0.351839750,0
0.353035417,1
0.353037667,0
0.354233250,1
0.354235500,0
0.355531000,1
0.355533250,0
0.356729167,1
0.356731417,0
0.357927500,1
0.357929750,0
0.359125500,1
0.359127750,0
0.360422667,1
0.360424917,0
0.361620000,1
0.361622250,0
0.362817333,1
0.362819583,0
0.364015083,1
0.364017250,0
0.365212833,1
0.365215083,0
0.366410917,1
0.366413167,0
0.367609083,1
0.367611333,0
0.368806750,1
0.368809000,0
0.369904083,1
0.369906333,0
0.371101417,1
0.371103667,0
0.372299083,1
0.372301333,0
0.373496583,1
0.373498833,0
0.374594333,1
0.374596583,0
0.375791583,1
0.375793833,0
0.376988750,1
0.376991000,0
0.378086000,1
0.378088250,0
0.379283417,1
0.379285583,0
0.380380917,1
0.380383167,0
0.381577750,1
0.381579917,0
0.382674917,1
0.382677167,0
0.383871667,1
0.383873833,0
0.384968750,1
0.384971000,0
0.386165667,1
0.386167917,0
0.387262917,1
0.387265167,0
0.388360250,1
0.388362500,0
0.389457250,1
0.389459417,0
0.390654083,1
0.390656333,0
0.391751167,1
0.391753333,0
0.392848250,1
0.392850500,0
0.393945167,1
0.393947417,0
0.395042333,1
0.395044583,0
0.396139417,1
0.396141667,0
0.397236000,1
0.397238250,0
0.398332750,1
0.398335000,0
0.399429667,1
0.399431917,0
0.400526750,1
0.400528917,0
0.401623500,1
0.401625750,0
0.402720417,1
0.402722667,0
0.403817500,1
0.403819750,0
0.404914583,1
0.404916833,0
0.405912083,1
0.405914333,0
0.407009583,1
0.407011750,0
0.408107333,1
0.408109583,0
0.409205000,1
0.409207167,0
0.410202417,1
0.410204667,0
0.411299583,1
0.411301750,0
0.412396500,1
0.412398667,0
0.413393500,1
0.413395750,0
0.414490833,1
0.414493083,0
0.415488583,1
0.415490833,0
0.416586417,1
0.416588667,0
0.417584250,1
0.417586500,0
0.418681583,1
0.418683833,0
0.419679417,1
0.419681667,0
0.420776917,1
0.420779167,0
0.421774750,1
0.421776917,0
0.422772167,1
0.422774417,0
0.423869417,1
0.423871667,0
0.424866917,1
0.424869167,0
0.425864917,1
0.425867167,0
0.426962417,1
0.426964667,0
0.427960167,1
0.427962417,0
0.428957583,1
0.428959750,0
0.429955333,1
0.429957500,0
0.430953250,1
0.430955500,0
0.432051000,1
0.432053250,0
0.433048750,1
0.433051000,0
0.434046083,1
0.434048333,0
0.435043583,1
0.435045833,0
0.436040833,1
0.436043083,0
0.437038417,1
0.437040667,0
0.438036167,1
0.438038417,0
0.439033667,1
0.439035917,0
0.440031250,1
0.440033500,0
0.441029000,1
0.441031167,0
0.442026417,1
0.442028667,0
0.443024000,1
0.443026250,0
0.444021583,1
0.444023833,0
0.444919750,1
0.444921917,0
0.445917167,1
0.445919333,0
0.446914750,1
0.446917000,0
0.447912167,1
0.447914417,0
0.448909417,1
0.448911667,0
0.449807083,1
0.449809333,0
0.450804750,1
0.450807000,0
0.451802000,1
0.451804250,0
0.452699833,1
0.452702000,0
0.453697500,1
0.453699667,0
0.454695083,1
0.454697333,0
0.455592833,1
0.455595083,0
0.456590333,1
0.456592583,0
0.457587667,1
0.457589917,0
0.458485417,1
0.458487667,0
0.459482667,1
0.459484833,0
0.460380500,1
0.460382667,0
0.461378000,1
0.461380250,0
0.462275750,1
0.462278000,0
0.463273583,1
0.463275750,0
0.464171500,1
0.464173750,0
0.465069250,1
0.465071500,0
0.466067083,1
0.466069333,0
0.466965250,1
0.466967500,0
0.467962750,1
0.467965000,0
0.468860833,1
0.468863083,0
0.469759250,1
0.469761417,0
0.470757167,1
0.470759417,0
0.471654833,1
0.471657083,0
0.472552417,1
0.472554667,0
0.473449917,1
0.473452083,0
0.474447417,1
0.474449667,0
0.475345333,1
0.475347583,0
0.476243167,1
0.476245417,0
0.477141333,1
0.477143500,0
0.478039667,1
0.478041917,0
0.479037750,1
0.479039917,0
0.479935583,1
0.479937833,0
0.480833417,1
0.480835667,0
0.481731417,1
0.481733667,0
0.482629500,1
0.482631750,0
0.483527667,1
0.483529917,0
0.484425583,1
0.484427833,0
0.485323500,1
0.485325750,0
0.486221333,1
0.486223583,0
0.487119583,1
0.487121833,0
0.488017917,1
0.488020167,0
0.488916000,1
0.488918167,0
0.489813833,1
0.489816083,0
0.490711917,1
0.490714167,0
0.491609917,1
0.491612167,0
0.492507917,1
0.492510167,0
0.493405750,1
0.493408000,0
0.494304167,1
0.494306417,0
0.495103000,1
0.495105250,0
0.496001583,1
0.496003833,0
0.496900167,1
0.496902417,0
0.497798500,1
0.497800750,0
0.498697083,1
0.498699333,0
0.499495750,1
0.499498000,0
0.500394000,1
0.500396250,0
0.501292417,1
0.501294583,0
0.502190833,1
0.502193083,0
0.502989333,1
0.502991583,0
0.503887917,1
0.503890167,0
0.504786500,1
0.504788750,0
0.505585417,1
0.505587667,0
0.506484083,1
0.506486333,0
0.507382750,1
0.507385000,0
0.508181583,1
0.508183750,0
0.509079833,1
0.509082083,0
0.509978417,1
0.509980583,0
0.510777167,1
0.510779417,0
0.511675750,1
0.511678000,0
0.512474667,1
0.512476917,0
0.513373000,1
0.513375167,0
0.514171333,1
0.514173583,0
0.515069417,1
0.515071667,0
0.515867750,1
0.515870000,0
0.516765917,1
0.516768167,0
